filename,cluster
0x ZRX whitepapers - whitepaper.io.txt.vec,0
1inch 1INCH whitepapers - whitepaper.io.txt.vec,0
1irstcoin FST whitepapers - whitepaper.io.txt.vec,0
1World 1WO whitepapers - whitepaper.io.txt.vec,0
42-coin 42 whitepapers - whitepaper.io.txt.vec,0
4THPILLAR TECHNOLOGIES FOUR whitepapers - whitepaper.io.txt.vec,-1
888tron 888 whitepapers - whitepaper.io.txt.vec,0
8X8 PROTOCOL EXE whitepapers - whitepaper.io.txt.vec,-1
999 999 whitepapers - whitepaper.io.txt.vec,0
99DEFI.NETWORK 99DEFI whitepapers - whitepaper.io.txt.vec,0
9D NFT COGI whitepapers - whitepaper.io.txt.vec,0
A4 Finance A4 whitepapers - whitepaper.io.txt.vec,0
Aave AAVE whitepapers - whitepaper.io.txt.vec,-1
AAX Token AAB whitepapers - whitepaper.io.txt.vec,0
ABBC Foundation ABBC whitepapers - whitepaper.io.txt.vec,0
ACA Token ACA whitepapers - whitepaper.io.txt.vec,0
Accumulate ACME whitepapers - whitepaper.io.txt.vec,0
Aces ACES whitepapers - whitepaper.io.txt.vec,-1
Achain ACT whitepapers - whitepaper.io.txt.vec,-1
Acute Angle Cloud AAC whitepapers - whitepaper.io.txt.vec,0
Adappter Token ADP whitepapers - whitepaper.io.txt.vec,0
ADAX ADAX whitepapers - whitepaper.io.txt.vec,0
AdEx ADX whitepapers - whitepaper.io.txt.vec,0
Aditus ADI whitepapers - whitepaper.io.txt.vec,0
Adshares ADS whitepapers - whitepaper.io.txt.vec,0
aelf ELF whitepapers - whitepaper.io.txt.vec,0
Aergo AERGO whitepapers - whitepaper.io.txt.vec,0
Aeron ARN whitepapers - whitepaper.io.txt.vec,0
Aerovek Aviation AERO whitepapers - whitepaper.io.txt.vec,0
Aeternity AE whitepapers - whitepaper.io.txt.vec,-1
AEToken AET whitepapers - whitepaper.io.txt.vec,0
Affinity AFNTY whitepapers - whitepaper.io.txt.vec,0
AgaveCoin AGVC whitepapers - whitepaper.io.txt.vec,0
Aidos Kuneen ADK whitepapers - whitepaper.io.txt.vec,-1
Aion AION whitepapers - whitepaper.io.txt.vec,-1
AIOZ Network AIOZ whitepapers - whitepaper.io.txt.vec,0
aiRight AIRI whitepapers - whitepaper.io.txt.vec,0
AirSwap AST whitepapers - whitepaper.io.txt.vec,0
Akash Network AKT whitepapers - whitepaper.io.txt.vec,-1
Akropolis AKRO whitepapers - whitepaper.io.txt.vec,-1
Akt.io AKTIO whitepapers - whitepaper.io.txt.vec,0
Alchemy ACOIN whitepapers - whitepaper.io.txt.vec,0
Alchemy Pay ACH whitepapers - whitepaper.io.txt.vec,0
Alias ALIAS whitepapers - whitepaper.io.txt.vec,0
ALL BEST ICO ALLBI whitepapers - whitepaper.io.txt.vec,0
All Sports SOC whitepapers - whitepaper.io.txt.vec,0
ALLY ALY whitepapers - whitepaper.io.txt.vec,0
Alpha Finance Lab ALPHA whitepapers - whitepaper.io.txt.vec,0
Alphacat ACAT whitepapers - whitepaper.io.txt.vec,0
ALQO ALQO whitepapers - whitepaper.io.txt.vec,0
AMARK XAC whitepapers - whitepaper.io.txt.vec,-1
Ambrosus AMB whitepapers - whitepaper.io.txt.vec,0
AMMYI Coin AMI whitepapers - whitepaper.io.txt.vec,0
Ampleforth AMPL whitepapers - whitepaper.io.txt.vec,-1
Anchor ANCT whitepapers - whitepaper.io.txt.vec,-1
Ancient Kingdom DOM whitepapers - whitepaper.io.txt.vec,0
Ankr Network ANKR whitepapers - whitepaper.io.txt.vec,0
Annex Finance ANN whitepapers - whitepaper.io.txt.vec,0
Antalyaspor Token AKREP whitepapers - whitepaper.io.txt.vec,1
AOK AOK whitepapers - whitepaper.io.txt.vec,0
Apex CPX whitepapers - whitepaper.io.txt.vec,0
API3 API3 whitepapers - whitepaper.io.txt.vec,-1
APIS APIS whitepapers - whitepaper.io.txt.vec,0
APIX APIX whitepapers - whitepaper.io.txt.vec,0
apM Coin APM whitepapers - whitepaper.io.txt.vec,0
Apollo Currency APL whitepapers - whitepaper.io.txt.vec,0
AppCoins APPC whitepapers - whitepaper.io.txt.vec,-1
AppleSwap APPLE whitepapers - whitepaper.io.txt.vec,0
Aptos null whitepapers - whitepaper.io.txt.vec,2
APY.Finance APY whitepapers - whitepaper.io.txt.vec,0
Aquari AQUARI whitepapers - whitepaper.io.txt.vec,0
Ara Blocks ARA whitepapers - whitepaper.io.txt.vec,-1
ArbitrageCT ARCT whitepapers - whitepaper.io.txt.vec,0
ArcBlock ABT whitepapers - whitepaper.io.txt.vec,0
Archethic UCO whitepapers - whitepaper.io.txt.vec,0
ARCS ARX whitepapers - whitepaper.io.txt.vec,0
ArdCoin ARDX whitepapers - whitepaper.io.txt.vec,0
Ardor ARDR whitepapers - whitepaper.io.txt.vec,3
Arepacoin AREPA whitepapers - whitepaper.io.txt.vec,0
Ariva ARV whitepapers - whitepaper.io.txt.vec,0
Ark ARK whitepapers - whitepaper.io.txt.vec,0
Artex ARTEX whitepapers - whitepaper.io.txt.vec,0
ARTM ARTM whitepapers - whitepaper.io.txt.vec,0
Arweave AR whitepapers - whitepaper.io.txt.vec,-1
Aryacoin AYA whitepapers - whitepaper.io.txt.vec,0
Ascendex BTMX whitepapers - whitepaper.io.txt.vec,0
Asch XAS whitepapers - whitepaper.io.txt.vec,0
asd null whitepapers - whitepaper.io.txt.vec,0
Asia Coin ASIA whitepapers - whitepaper.io.txt.vec,0
ASTA ASTA whitepapers - whitepaper.io.txt.vec,0
Aston ATX whitepapers - whitepaper.io.txt.vec,0
AstroSpaces.io SPACES whitepapers - whitepaper.io.txt.vec,0
Atari Token ATRI whitepapers - whitepaper.io.txt.vec,0
ATLANT ATL whitepapers - whitepaper.io.txt.vec,0
Atlas Protocol ATP whitepapers - whitepaper.io.txt.vec,0
ATN ATN whitepapers - whitepaper.io.txt.vec,0
AtromG8 AG8 whitepapers - whitepaper.io.txt.vec,0
Attila ATT whitepapers - whitepaper.io.txt.vec,0
Audius AUDIO whitepapers - whitepaper.io.txt.vec,-1
Augur REP whitepapers - whitepaper.io.txt.vec,-1
Aurix AUR whitepapers - whitepaper.io.txt.vec,0
Aurora AOA whitepapers - whitepaper.io.txt.vec,0
Autonio NIOX whitepapers - whitepaper.io.txt.vec,0
Avalanche AVAX whitepapers - whitepaper.io.txt.vec,-1
AVINOC AVINOC whitepapers - whitepaper.io.txt.vec,-1
Axion AXN whitepapers - whitepaper.io.txt.vec,0
Axis DeFi AXIS whitepapers - whitepaper.io.txt.vec,0
Axl Inu AXL whitepapers - whitepaper.io.txt.vec,0
Azit AZIT whitepapers - whitepaper.io.txt.vec,4
b null whitepapers - whitepaper.io.txt.vec,0
B2BX B2B whitepapers - whitepaper.io.txt.vec,0
Baanx BXX whitepapers - whitepaper.io.txt.vec,0
BaaSid BAAS whitepapers - whitepaper.io.txt.vec,-1
BABB BAX whitepapers - whitepaper.io.txt.vec,0
BABEEZ BABEEZ whitepapers - whitepaper.io.txt.vec,0
Baby Shiba Inu BABYSHIBAINU whitepapers - whitepaper.io.txt.vec,0
BAB_L TOKEN BABIL whitepapers - whitepaper.io.txt.vec,1
BaconCoin BACON whitepapers - whitepaper.io.txt.vec,-1
Balancer BAL whitepapers - whitepaper.io.txt.vec,-1
Bancor BNT whitepapers - whitepaper.io.txt.vec,-1
Band Protocol BAND whitepapers - whitepaper.io.txt.vec,0
Bankex BKX whitepapers - whitepaper.io.txt.vec,-1
Bankroll Network BNKR whitepapers - whitepaper.io.txt.vec,-1
Basic Attention Token BAT whitepapers - whitepaper.io.txt.vec,0
Bata BTA whitepapers - whitepaper.io.txt.vec,0
bc1q3vu6xewzafwwh6nw0camfz7chu2fxfxxt29xax bc1q3vu6xewzafwwh6nw0camfz7chu2fxfxxt29xax whitepapers - whitepaper.io.txt.vec,0
Beam BEAM whitepapers - whitepaper.io.txt.vec,0
Bean Cash - BitBean BITB whitepapers - whitepaper.io.txt.vec,0
BeeSwap BEE whitepapers - whitepaper.io.txt.vec,0
BeFaster Holder Token BFHT whitepapers - whitepaper.io.txt.vec,0
BeforeCoinMarketCap BCMC1 whitepapers - whitepaper.io.txt.vec,0
"Behodler EYE is the governance token Scarcity (SCX) is the Liquidity Token Flan (FLN) is a reward token issued by a token migration yield farm, Limbo. whitepapers - whitepaper.io.txt.vec",-1
Bela BELA whitepapers - whitepaper.io.txt.vec,0
Beldex BDX whitepapers - whitepaper.io.txt.vec,0
Belgian Malinois Token Belgian Malinois Token whitepapers - whitepaper.io.txt.vec,0
BEMIL Coin BEM whitepapers - whitepaper.io.txt.vec,0
BetterBetting BETR whitepapers - whitepaper.io.txt.vec,0
BGOGO BGG whitepapers - whitepaper.io.txt.vec,0
BHAX Token BHAX whitepapers - whitepaper.io.txt.vec,0
BHO Network BHO whitepapers - whitepaper.io.txt.vec,0
BHP Network BHP whitepapers - whitepaper.io.txt.vec,0
Biconomy Exchange Token BIT whitepapers - whitepaper.io.txt.vec,0
BiFi BIFI whitepapers - whitepaper.io.txt.vec,-1
Bifrost BFC whitepapers - whitepaper.io.txt.vec,-1
Binance BNB whitepapers - whitepaper.io.txt.vec,0
Bincentive BCNT whitepapers - whitepaper.io.txt.vec,0
BioPassport Token BIOT whitepapers - whitepaper.io.txt.vec,-1
Bismuth BIS whitepapers - whitepaper.io.txt.vec,0
BitBay BAY whitepapers - whitepaper.io.txt.vec,0
Bitbook Gambling BXK whitepapers - whitepaper.io.txt.vec,0
Bitcicoin BITCI whitepapers - whitepaper.io.txt.vec,0
Bitcoiin2Gen B2G whitepapers - whitepaper.io.txt.vec,0
Bitcoin Asia BTCA whitepapers - whitepaper.io.txt.vec,0
Bitcoin BTC whitepapers - whitepaper.io.txt.vec,0
Bitcoin Diamond BCD whitepapers - whitepaper.io.txt.vec,0
Bitcoin Green BITG whitepapers - whitepaper.io.txt.vec,-1
Bitcoin Plus XBC whitepapers - whitepaper.io.txt.vec,0
Bitcoin Private BTCP whitepapers - whitepaper.io.txt.vec,0
Bitcoin Rhodium XRC whitepapers - whitepaper.io.txt.vec,0
Bitcoin Standard Hashrate Token BTCST whitepapers - whitepaper.io.txt.vec,-1
